epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.9222999811172485,0.9222999811172485,0.26603224873542786
0,781,,,,0.8823599815368652,0.8823599815368652,0.4505043029785156,,,
1,1563,,,,,,,0.9412999749183655,0.9412999749183655,0.20484529435634613
1,1563,,,,0.9363399744033813,0.9363399744033813,0.22714586555957794,,,
2,2345,,,,,,,0.9514999985694885,0.9514999985694885,0.16323761641979218
2,2345,,,,0.9510200023651123,0.9510200023651123,0.17306508123874664,,,
3,2346,,,,,,,0.957099974155426,0.957099974155426,0.1531345397233963
3,2346,0.9535999894142151,0.9535999894142151,0.15949463844299316,,,,,,
