epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.920799970626831,0.920799970626831,0.27005431056022644
0,781,,,,0.8837400078773499,0.8837400078773499,0.44654786586761475,,,
1,1563,,,,,,,0.9406999945640564,0.9406999945640564,0.20340301096439362
1,1563,,,,0.9338399767875671,0.9338399767875671,0.2327750027179718,,,
2,2345,,,,,,,0.9503999948501587,0.9503999948501587,0.17221498489379883
2,2345,,,,0.9491000175476074,0.9491000175476074,0.18010684847831726,,,
3,2346,,,,,,,0.9549999833106995,0.9549999833106995,0.1581541895866394
3,2346,0.9528999924659729,0.9528999924659729,0.16387058794498444,,,,,,
