epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.9211999773979187,0.9211999773979187,0.2707456648349762
0,781,,,,0.8834400177001953,0.8834400177001953,0.4451671242713928,,,
1,1563,,,,,,,0.9380000233650208,0.9380000233650208,0.21502456068992615
1,1563,,,,0.9366000294685364,0.9366000294685364,0.2267857939004898,,,
2,2345,,,,,,,0.949400007724762,0.949400007724762,0.17464445531368256
2,2345,,,,0.9495000243186951,0.9495000243186951,0.17531071603298187,,,
3,2346,,,,,,,0.949400007724762,0.949400007724762,0.17464445531368256
3,2346,0.9537000060081482,0.9537000060081482,0.16068480908870697,,,,,,
