epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.9218999743461609,0.9218999743461609,0.2739023268222809
0,781,,,,0.8837800025939941,0.8837800025939941,0.4513358473777771,,,
1,1563,,,,,,,0.9409000277519226,0.9409000277519226,0.21128612756729126
1,1563,,,,0.9348599910736084,0.9348599910736084,0.22960080206394196,,,
2,2345,,,,,,,0.9472000002861023,0.9472000002861023,0.17730799317359924
2,2345,,,,0.9487199783325195,0.9487199783325195,0.17865397036075592,,,
3,2346,,,,,,,0.9544000029563904,0.9544000029563904,0.1562030017375946
3,2346,0.9509999752044678,0.9509999752044678,0.16616599261760712,,,,,,
