epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.9298999905586243,0.9298999905586243,0.2576451599597931
0,781,,,,0.8808599710464478,0.8808599710464478,0.4515577256679535,,,
1,1563,,,,,,,0.9430999755859375,0.9430999755859375,0.20363888144493103
1,1563,,,,0.9358400106430054,0.9358400106430054,0.2291191667318344,,,
2,2345,,,,,,,0.9517999887466431,0.9517999887466431,0.16757063567638397
2,2345,,,,0.9484999775886536,0.9484999775886536,0.17838314175605774,,,
3,2346,,,,,,,0.9570000171661377,0.9570000171661377,0.14819198846817017
3,2346,0.9520000219345093,0.9520000219345093,0.16239449381828308,,,,,,
