epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.9225999712944031,0.9225999712944031,0.2663111686706543
0,781,,,,0.8846200108528137,0.8846200108528137,0.44330039620399475,,,
1,1563,,,,,,,0.9408000111579895,0.9408000111579895,0.20049560070037842
1,1563,,,,0.9363399744033813,0.9363399744033813,0.22250983119010925,,,
2,2345,,,,,,,0.954800009727478,0.954800009727478,0.16299322247505188
2,2345,,,,0.9511799812316895,0.9511799812316895,0.17180484533309937,,,
3,2346,,,,,,,0.954800009727478,0.954800009727478,0.16299322247505188
3,2346,0.9546999931335449,0.9546999931335449,0.15581440925598145,,,,,,
