epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.9189000129699707,0.9189000129699707,0.28341296315193176
0,781,,,,0.8845999836921692,0.8845999836921692,0.45306819677352905,,,
1,1563,,,,,,,0.9359999895095825,0.9359999895095825,0.22524872422218323
1,1563,,,,0.9348599910736084,0.9348599910736084,0.2279958575963974,,,
2,2345,,,,,,,0.9455999732017517,0.9455999732017517,0.19122979044914246
2,2345,,,,0.9480800032615662,0.9480800032615662,0.17868974804878235,,,
3,2346,,,,,,,0.9569000005722046,0.9569000005722046,0.1627560406923294
3,2346,0.9503999948501587,0.9503999948501587,0.16842256486415863,,,,,,
