epoch,step,test_accuracy,test_f1_score,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_f1_score,val_loss
0,781,,,,,,,0.9262999892234802,0.9262999892234802,0.2587345540523529
0,781,,,,0.8771799802780151,0.8771799802780151,0.4594491720199585,,,
1,1563,,,,,,,0.9478999972343445,0.9478999972343445,0.19190289080142975
1,1563,,,,0.9344800114631653,0.9344800114631653,0.22915244102478027,,,
2,2345,,,,,,,0.9527000188827515,0.9527000188827515,0.1672537922859192
2,2345,,,,0.9498599767684937,0.9498599767684937,0.1751784384250641,,,
3,2346,,,,,,,0.9560999870300293,0.9560999870300293,0.15316741168498993
3,2346,0.9527000188827515,0.9527000188827515,0.162703737616539,,,,,,
